steps,mean 100 episode reward,% time spent exploring,reward,head,episodes
33583,-199.8,9,-200.0,4,169
33771,-199.7,9,-188.0,9,170
33971,-199.7,9,-200.0,6,171
34171,-199.7,9,-200.0,5,172
34371,-199.7,9,-200.0,7,173
34571,-199.7,9,-200.0,8,174
34771,-199.7,9,-200.0,8,175
34936,-199.4,9,-165.0,9,176
35136,-199.4,9,-200.0,2,177
35336,-199.4,9,-200.0,8,178
35510,-199.1,9,-174.0,6,179
35710,-199.1,9,-200.0,6,180
35910,-199.1,9,-200.0,9,181
36070,-198.7,9,-160.0,1,182
36270,-198.7,9,-200.0,6,183
36470,-198.7,9,-200.0,8,184
36669,-198.7,9,-199.0,8,185
36858,-198.6,9,-189.0,3,186
37058,-198.6,9,-200.0,2,187
37258,-198.6,9,-200.0,3,188
37393,-197.9,9,-135.0,6,189
37559,-197.6,9,-166.0,3,190
37759,-197.6,9,-200.0,6,191
37919,-197.2,9,-160.0,5,192
38119,-197.2,9,-200.0,7,193
38319,-197.2,9,-200.0,0,194
38516,-197.2,9,-197.0,8,195
38716,-197.2,9,-200.0,4,196
38859,-196.6,9,-143.0,6,197
39003,-196.0,9,-144.0,5,198
39198,-196.0,9,-195.0,8,199
39364,-195.6,9,-166.0,2,200
39519,-195.2,9,-155.0,3,201
39682,-194.8,9,-163.0,9,202
39834,-194.4,9,-152.0,7,203
39994,-194.0,9,-160.0,5,204
40194,-194.0,9,-200.0,3,205
40394,-194.0,9,-200.0,4,206
40575,-193.8,9,-181.0,5,207
40733,-193.3,9,-158.0,3,208
40933,-193.3,9,-200.0,3,209
41121,-193.2,9,-188.0,7,210
41271,-192.7,9,-150.0,9,211
41419,-192.2,9,-148.0,9,212
41565,-191.7,9,-146.0,9,213
41729,-191.3,9,-164.0,7,214
41887,-190.9,9,-158.0,3,215
42087,-190.9,9,-200.0,2,216
42257,-190.6,9,-170.0,3,217
42457,-190.6,9,-200.0,9,218
42617,-190.2,9,-160.0,7,219
42778,-189.8,9,-161.0,7,220
42976,-189.8,9,-198.0,5,221
43176,-189.8,9,-200.0,1,222
43376,-189.8,9,-200.0,2,223
43535,-189.4,9,-159.0,2,224
43701,-189.0,9,-166.0,8,225
43856,-188.6,9,-155.0,1,226
44011,-188.1,9,-155.0,5,227
44171,-187.7,9,-160.0,8,228
44371,-187.7,9,-200.0,4,229
44551,-187.5,9,-180.0,0,230
44719,-187.2,9,-168.0,2,231
44919,-187.2,9,-200.0,5,232
45108,-187.1,9,-189.0,5,233
45247,-186.5,9,-139.0,0,234
45442,-186.4,9,-195.0,8,235
45600,-186.0,9,-158.0,1,236
45800,-186.0,9,-200.0,1,237
45952,-185.5,9,-152.0,0,238
46095,-185.0,9,-143.0,3,239
46295,-185.0,9,-200.0,8,240
46448,-184.5,9,-153.0,8,241
46648,-184.5,9,-200.0,4,242
46848,-184.5,9,-200.0,4,243
47013,-184.1,9,-165.0,0,244
47213,-184.1,9,-200.0,9,245
47392,-183.9,9,-179.0,3,246
47592,-183.9,9,-200.0,7,247
47735,-183.4,9,-143.0,3,248
47935,-183.4,9,-200.0,2,249
48095,-183.0,9,-160.0,1,250
48295,-183.0,9,-200.0,1,251
48428,-182.3,9,-133.0,2,252
48628,-182.3,9,-200.0,1,253
48767,-181.7,9,-139.0,4,254
48967,-181.7,9,-200.0,2,255
49167,-181.7,9,-200.0,5,256
49330,-181.3,9,-163.0,5,257
49530,-181.3,9,-200.0,5,258
49675,-180.8,9,-145.0,2,259
49861,-180.6,9,-186.0,5,260
50044,-180.4,9,-183.0,7,261
50244,-180.4,9,-200.0,7,262
50368,-179.7,9,-124.0,6,263
50524,-179.4,9,-156.0,1,264
50683,-179.0,9,-159.0,6,265
50841,-178.6,9,-158.0,7,266
51041,-178.6,9,-200.0,2,267
51241,-178.6,9,-200.0,3,268
51385,-178.0,9,-144.0,1,269
51538,-177.7,9,-153.0,9,270
51738,-177.7,9,-200.0,5,271
51878,-177.1,9,-140.0,9,272
52047,-176.8,9,-169.0,9,273
52247,-176.8,9,-200.0,2,274
52430,-176.6,9,-183.0,0,275
52584,-176.5,9,-154.0,9,276
52780,-176.4,9,-196.0,1,277
52972,-176.4,9,-192.0,9,278
53124,-176.1,9,-152.0,0,279
53275,-175.6,9,-151.0,6,280
53438,-175.3,9,-163.0,0,281
53638,-175.7,9,-200.0,4,282
53788,-175.2,9,-150.0,8,283
53988,-175.2,9,-200.0,4,284
54188,-175.2,9,-200.0,3,285
54343,-174.8,9,-155.0,3,286
54531,-174.7,9,-188.0,8,287
54731,-174.7,9,-200.0,8,288
54931,-175.4,9,-200.0,7,289
55083,-175.2,9,-152.0,0,290
55273,-175.1,9,-190.0,3,291
55430,-175.1,9,-157.0,8,292
55575,-174.6,9,-145.0,7,293
55723,-174.0,9,-148.0,7,294
55923,-174.1,9,-200.0,1,295
56079,-173.6,9,-156.0,8,296
56249,-173.9,9,-170.0,4,297
56393,-173.9,9,-144.0,7,298
56542,-173.4,9,-149.0,0,299
56702,-173.4,9,-160.0,4,300
56847,-173.3,9,-145.0,9,301
