reward,mean 100 episode reward,head,% time spent exploring,episodes,steps
0.001,0.0,5,99,2,108
0.0,0.0,0,99,3,217
0.002,0.0,3,98,4,326
0.02900000000000002,0.0,3,98,5,435
0.03300000000000002,0.0,7,97,6,544
0.004,0.0,9,97,7,653
0.026000000000000016,0.0,3,96,8,762
0.012000000000000004,0.0,5,96,9,871
0.03200000000000002,0.0,2,95,10,980
0.003,0.0,4,95,11,1089
0.02100000000000001,0.0,7,95,12,1198
0.001,0.0,6,94,13,1307
0.03300000000000002,0.0,8,94,14,1416
0.01800000000000001,0.0,8,93,15,1525
0.010000000000000002,0.0,1,93,16,1634
0.024000000000000014,0.0,6,92,17,1743
0.0,0.0,7,92,18,1852
0.025000000000000015,0.0,7,91,19,1961
0.005,0.0,8,91,20,2070
0.006,0.0,1,90,21,2179
0.0,0.0,5,90,22,2288
0.01800000000000001,0.0,9,90,23,2397
0.02900000000000002,0.0,8,89,24,2506
0.0,0.0,9,89,25,2615
0.009000000000000001,0.0,4,88,26,2724
0.002,0.0,3,88,27,2833
0.024000000000000014,0.0,0,87,28,2942
0.011000000000000003,0.0,3,87,29,3051
0.0,0.0,5,86,30,3160
0.0,0.0,0,86,31,3269
0.012000000000000004,0.0,2,86,32,3378
0.027000000000000017,0.0,3,85,33,3487
0.009000000000000001,0.0,8,85,34,3596
0.01800000000000001,0.0,1,84,35,3705
0.026000000000000016,0.0,3,84,36,3814
0.010000000000000002,0.0,3,83,37,3923
0.008,0.0,3,83,38,4032
0.008,0.0,7,82,39,4141
0.002,0.0,0,82,40,4250
0.006,0.0,1,81,41,4359
0.002,0.0,9,81,42,4468
0.0,0.0,9,81,43,4577
0.011000000000000003,0.0,0,80,44,4686
0.004,0.0,4,80,45,4795
0.012000000000000004,0.0,7,79,46,4904
0.023000000000000013,0.0,3,79,47,5013
0.012000000000000004,0.0,2,78,48,5122
0.0,0.0,7,78,49,5231
0.015000000000000006,0.0,2,77,50,5340
0.026000000000000016,0.0,0,77,51,5449
0.004,0.0,0,77,52,5558
0.03300000000000002,0.0,4,76,53,5667
0.002,0.0,5,76,54,5776
0.0,0.0,5,75,55,5885
0.03900000000000003,0.0,6,75,56,5994
0.035000000000000024,0.0,8,74,57,6103
0.03400000000000002,0.0,4,74,58,6212
0.03400000000000002,0.0,1,73,59,6321
0.02000000000000001,0.0,4,73,60,6430
0.0,0.0,9,72,61,6539
0.0,0.0,8,72,62,6648
0.04200000000000003,0.0,1,72,63,6757
0.03800000000000003,0.0,1,71,64,6866
0.002,0.0,7,71,65,6975
0.02000000000000001,0.0,9,70,66,7084
0.0,0.0,9,70,67,7193
0.001,0.0,3,69,68,7302
0.0,0.0,6,69,69,7411
0.007,0.0,7,68,70,7520
