episodes,% time spent exploring,head,reward,mean 100 episode reward,steps
169,39,8,-200.0,-200.0,33599
170,39,9,-200.0,-200.0,33799
171,38,3,-200.0,-200.0,33999
172,38,5,-200.0,-200.0,34199
173,38,9,-200.0,-200.0,34399
174,37,1,-200.0,-200.0,34599
175,37,7,-200.0,-200.0,34799
176,37,4,-200.0,-200.0,34999
177,36,0,-200.0,-200.0,35199
178,36,8,-200.0,-200.0,35399
179,35,3,-200.0,-200.0,35599
180,35,1,-200.0,-200.0,35799
181,35,4,-200.0,-200.0,35999
182,34,7,-200.0,-200.0,36199
183,34,2,-200.0,-200.0,36399
184,34,2,-200.0,-200.0,36599
185,33,4,-200.0,-200.0,36799
186,33,0,-200.0,-200.0,36999
187,33,8,-200.0,-200.0,37199
188,32,3,-200.0,-200.0,37399
189,32,5,-200.0,-200.0,37599
190,31,2,-200.0,-200.0,37799
191,31,4,-200.0,-200.0,37999
192,31,7,-200.0,-200.0,38199
193,30,5,-200.0,-200.0,38399
194,30,0,-200.0,-200.0,38599
195,30,2,-200.0,-200.0,38799
196,29,4,-200.0,-200.0,38999
197,29,6,-200.0,-200.0,39199
198,29,6,-200.0,-200.0,39399
199,28,2,-200.0,-200.0,39599
200,28,7,-200.0,-200.0,39799
201,28,2,-200.0,-200.0,39999
202,27,5,-200.0,-200.0,40199
203,27,1,-200.0,-200.0,40399
204,26,5,-200.0,-200.0,40599
205,26,3,-200.0,-200.0,40799
206,26,7,-200.0,-200.0,40999
207,25,7,-200.0,-200.0,41199
208,25,1,-200.0,-200.0,41399
209,25,2,-200.0,-200.0,41599
210,24,1,-200.0,-200.0,41799
211,24,5,-200.0,-200.0,41999
212,24,8,-200.0,-200.0,42199
213,23,0,-200.0,-200.0,42399
214,23,8,-200.0,-200.0,42599
215,22,6,-200.0,-200.0,42799
216,22,5,-200.0,-200.0,42999
217,22,6,-200.0,-200.0,43199
218,21,4,-200.0,-200.0,43399
219,21,7,-200.0,-200.0,43599
220,21,8,-200.0,-200.0,43799
221,20,7,-200.0,-200.0,43999
222,20,1,-200.0,-200.0,44199
223,20,8,-200.0,-200.0,44399
224,19,2,-200.0,-200.0,44599
225,19,2,-200.0,-200.0,44799
226,19,7,-200.0,-200.0,44999
227,18,0,-200.0,-200.0,45199
228,18,1,-200.0,-200.0,45399
229,17,0,-200.0,-200.0,45599
230,17,5,-200.0,-200.0,45799
231,17,9,-200.0,-200.0,45999
232,16,0,-200.0,-200.0,46199
233,16,0,-200.0,-200.0,46399
234,16,7,-200.0,-200.0,46599
235,15,4,-200.0,-200.0,46799
236,15,3,-200.0,-200.0,46999
237,15,2,-200.0,-200.0,47199
238,14,6,-200.0,-200.0,47399
239,14,3,-200.0,-200.0,47599
240,13,4,-200.0,-200.0,47799
241,13,4,-200.0,-200.0,47999
242,13,9,-200.0,-200.0,48199
243,12,7,-200.0,-200.0,48399
244,12,2,-200.0,-200.0,48599
245,12,2,-200.0,-200.0,48799
246,11,3,-200.0,-200.0,48999
247,11,0,-200.0,-200.0,49199
248,11,3,-200.0,-200.0,49399
249,10,7,-200.0,-200.0,49599
250,10,8,-200.0,-200.0,49799
251,10,1,-200.0,-200.0,49999
252,9,6,-200.0,-200.0,50199
253,9,1,-200.0,-200.0,50399
254,9,8,-200.0,-200.0,50599
255,9,6,-200.0,-200.0,50799
256,9,6,-200.0,-200.0,50999
257,9,1,-200.0,-200.0,51199
258,9,3,-200.0,-200.0,51399
259,9,0,-200.0,-200.0,51599
260,9,5,-200.0,-200.0,51799
261,9,5,-200.0,-200.0,51999
262,9,3,-200.0,-200.0,52199
263,9,3,-200.0,-200.0,52399
264,9,7,-200.0,-200.0,52599
265,9,5,-200.0,-200.0,52799
266,9,1,-200.0,-200.0,52999
267,9,7,-200.0,-200.0,53199
268,9,7,-200.0,-200.0,53399
269,9,2,-200.0,-200.0,53599
270,9,3,-200.0,-200.0,53799
271,9,0,-200.0,-200.0,53999
272,9,2,-200.0,-200.0,54199
273,9,5,-200.0,-200.0,54399
274,9,8,-200.0,-200.0,54599
275,9,9,-200.0,-200.0,54799
276,9,4,-200.0,-200.0,54999
277,9,3,-200.0,-200.0,55199
278,9,0,-200.0,-200.0,55399
279,9,9,-200.0,-200.0,55599
280,9,1,-200.0,-200.0,55799
281,9,8,-200.0,-200.0,55999
282,9,4,-200.0,-200.0,56199
283,9,8,-200.0,-200.0,56399
284,9,0,-200.0,-200.0,56599
285,9,1,-200.0,-200.0,56799
286,9,5,-200.0,-200.0,56999
287,9,1,-200.0,-200.0,57199
288,9,2,-200.0,-200.0,57399
289,9,9,-200.0,-200.0,57599
290,9,3,-200.0,-200.0,57799
291,9,5,-200.0,-200.0,57999
292,9,6,-200.0,-200.0,58199
293,9,0,-200.0,-200.0,58399
294,9,8,-200.0,-200.0,58599
295,9,3,-200.0,-200.0,58799
296,9,4,-200.0,-200.0,58999
297,9,4,-200.0,-200.0,59199
298,9,2,-200.0,-200.0,59399
299,9,7,-200.0,-200.0,59599
300,9,7,-200.0,-200.0,59799
301,9,9,-200.0,-200.0,59999
302,9,0,-200.0,-200.0,60199
303,9,3,-200.0,-200.0,60399
304,9,4,-200.0,-200.0,60599
305,9,0,-200.0,-200.0,60799
306,9,2,-200.0,-200.0,60999
307,9,4,-200.0,-200.0,61199
308,9,2,-200.0,-200.0,61399
309,9,2,-200.0,-200.0,61599
310,9,5,-200.0,-200.0,61799
311,9,1,-200.0,-200.0,61999
312,9,9,-200.0,-200.0,62199
313,9,2,-200.0,-200.0,62399
314,9,2,-200.0,-200.0,62599
315,9,2,-200.0,-200.0,62799
316,9,6,-200.0,-200.0,62999
317,9,0,-200.0,-200.0,63199
318,9,7,-200.0,-200.0,63399
319,9,4,-200.0,-200.0,63599
320,9,8,-200.0,-200.0,63799
321,9,9,-200.0,-200.0,63999
322,9,3,-200.0,-200.0,64199
323,9,9,-200.0,-200.0,64399
324,9,9,-200.0,-200.0,64599
325,9,8,-200.0,-200.0,64799
326,9,8,-200.0,-200.0,64999
327,9,7,-200.0,-200.0,65199
328,9,4,-200.0,-200.0,65399
329,9,2,-200.0,-200.0,65599
330,9,2,-200.0,-200.0,65799
331,9,3,-200.0,-200.0,65999
332,9,3,-200.0,-200.0,66199
333,9,7,-200.0,-200.0,66399
334,9,4,-200.0,-200.0,66599
335,9,8,-200.0,-200.0,66799
336,9,7,-200.0,-200.0,66999
337,9,6,-200.0,-200.0,67199
338,9,0,-200.0,-200.0,67399
339,9,9,-200.0,-200.0,67599
340,9,9,-200.0,-200.0,67799
341,9,8,-200.0,-200.0,67999
342,9,9,-200.0,-200.0,68199
343,9,0,-200.0,-200.0,68399
344,9,6,-200.0,-200.0,68599
345,9,7,-200.0,-200.0,68799
346,9,4,-200.0,-200.0,68999
347,9,0,-200.0,-200.0,69199
348,9,9,-200.0,-200.0,69399
349,9,1,-200.0,-200.0,69599
350,9,9,-200.0,-200.0,69799
351,9,6,-200.0,-200.0,69999
352,9,4,-200.0,-200.0,70199
353,9,9,-200.0,-200.0,70399
354,9,2,-200.0,-200.0,70599
355,9,9,-200.0,-200.0,70799
356,9,0,-200.0,-200.0,70999
357,9,2,-200.0,-200.0,71199
358,9,8,-200.0,-200.0,71399
359,9,2,-200.0,-200.0,71599
360,9,0,-200.0,-200.0,71799
361,9,5,-200.0,-200.0,71999
362,9,9,-200.0,-200.0,72199
363,9,9,-200.0,-200.0,72399
364,9,0,-200.0,-200.0,72599
365,9,3,-200.0,-200.0,72799
366,9,0,-200.0,-200.0,72999
367,9,8,-200.0,-200.0,73199
368,9,1,-200.0,-200.0,73399
369,9,0,-200.0,-200.0,73599
370,9,6,-200.0,-200.0,73799
371,9,0,-200.0,-200.0,73999
372,9,0,-200.0,-200.0,74199
373,9,2,-200.0,-200.0,74399
374,9,4,-200.0,-200.0,74599
375,9,3,-200.0,-200.0,74799
376,9,9,-200.0,-200.0,74999
377,9,9,-200.0,-200.0,75199
378,9,1,-200.0,-200.0,75399
379,9,5,-200.0,-200.0,75599
380,9,0,-200.0,-200.0,75799
381,9,2,-200.0,-200.0,75999
382,9,2,-200.0,-200.0,76199
383,9,8,-200.0,-200.0,76399
384,9,5,-200.0,-200.0,76599
385,9,0,-200.0,-200.0,76799
386,9,7,-200.0,-200.0,76999
387,9,9,-200.0,-200.0,77199
388,9,0,-200.0,-200.0,77399
389,9,2,-200.0,-200.0,77599
390,9,8,-200.0,-200.0,77799
391,9,0,-200.0,-200.0,77999
392,9,5,-200.0,-200.0,78199
393,9,3,-200.0,-200.0,78399
394,9,5,-200.0,-200.0,78599
395,9,7,-200.0,-200.0,78799
396,9,9,-200.0,-200.0,78999
397,9,6,-200.0,-200.0,79199
398,9,6,-200.0,-200.0,79399
399,9,4,-200.0,-200.0,79599
400,9,6,-200.0,-200.0,79799
401,9,1,-200.0,-200.0,79999
402,9,9,-200.0,-200.0,80199
403,9,1,-200.0,-200.0,80399
404,9,2,-200.0,-200.0,80599
405,9,4,-200.0,-200.0,80799
406,9,4,-200.0,-200.0,80999
407,9,6,-200.0,-200.0,81199
408,9,2,-200.0,-200.0,81399
409,9,3,-200.0,-200.0,81599
410,9,4,-200.0,-200.0,81799
411,9,4,-200.0,-200.0,81999
412,9,3,-200.0,-200.0,82199
413,9,0,-200.0,-200.0,82399
414,9,8,-200.0,-200.0,82599
415,9,7,-200.0,-200.0,82799
416,9,5,-200.0,-200.0,82999
417,9,1,-200.0,-200.0,83199
418,9,1,-200.0,-200.0,83399
419,9,3,-200.0,-200.0,83599
420,9,7,-200.0,-200.0,83799
421,9,9,-200.0,-200.0,83999
422,9,5,-200.0,-200.0,84199
423,9,9,-200.0,-200.0,84399
424,9,0,-200.0,-200.0,84599
425,9,7,-200.0,-200.0,84799
426,9,8,-200.0,-200.0,84999
427,9,9,-200.0,-200.0,85199
428,9,9,-200.0,-200.0,85399
429,9,5,-200.0,-200.0,85599
430,9,0,-200.0,-200.0,85799
431,9,5,-200.0,-200.0,85999
432,9,9,-200.0,-200.0,86199
433,9,9,-200.0,-200.0,86399
434,9,1,-200.0,-200.0,86599
435,9,4,-200.0,-200.0,86799
436,9,9,-200.0,-200.0,86999
437,9,6,-200.0,-200.0,87199
438,9,2,-200.0,-200.0,87399
439,9,3,-200.0,-200.0,87599
440,9,4,-200.0,-200.0,87799
441,9,7,-200.0,-200.0,87999
442,9,4,-200.0,-200.0,88199
