episodes,% time spent exploring,head,reward,mean 100 episode reward,steps
731,9,3,-200.0,-200.0,145999
732,9,6,-200.0,-200.0,146199
733,9,2,-200.0,-200.0,146399
734,9,5,-200.0,-200.0,146599
735,9,2,-200.0,-200.0,146799
736,9,8,-200.0,-200.0,146999
737,9,3,-200.0,-200.0,147199
738,9,6,-200.0,-200.0,147399
739,9,8,-200.0,-200.0,147599
740,9,2,-200.0,-200.0,147799
741,9,8,-200.0,-200.0,147999
742,9,0,-200.0,-200.0,148199
743,9,3,-200.0,-200.0,148399
744,9,4,-200.0,-200.0,148599
745,9,5,-200.0,-200.0,148799
746,9,3,-200.0,-200.0,148999
747,9,3,-200.0,-200.0,149199
748,9,8,-200.0,-200.0,149399
749,9,2,-200.0,-200.0,149599
750,9,0,-200.0,-200.0,149799
751,9,4,-200.0,-200.0,149999
752,9,5,-200.0,-200.0,150199
753,9,2,-200.0,-200.0,150399
754,9,1,-200.0,-200.0,150599
755,9,8,-200.0,-200.0,150799
756,9,6,-200.0,-200.0,150999
757,9,9,-200.0,-200.0,151199
758,9,5,-200.0,-200.0,151399
759,9,5,-200.0,-200.0,151599
760,9,5,-200.0,-200.0,151799
761,9,2,-200.0,-200.0,151999
762,9,0,-200.0,-200.0,152199
763,9,6,-200.0,-200.0,152399
764,9,9,-200.0,-200.0,152599
765,9,1,-200.0,-200.0,152799
766,9,8,-200.0,-200.0,152999
767,9,0,-200.0,-200.0,153199
768,9,7,-200.0,-200.0,153399
769,9,5,-200.0,-200.0,153599
770,9,8,-200.0,-200.0,153799
771,9,6,-200.0,-200.0,153999
772,9,9,-200.0,-200.0,154199
773,9,5,-200.0,-200.0,154399
774,9,8,-200.0,-200.0,154599
775,9,4,-200.0,-200.0,154799
776,9,0,-200.0,-200.0,154999
777,9,5,-200.0,-200.0,155199
778,9,8,-200.0,-200.0,155399
779,9,1,-200.0,-200.0,155599
780,9,6,-200.0,-200.0,155799
781,9,4,-200.0,-200.0,155999
782,9,2,-200.0,-200.0,156199
783,9,6,-200.0,-200.0,156399
784,9,0,-200.0,-200.0,156599
785,9,3,-200.0,-200.0,156799
786,9,0,-200.0,-200.0,156999
787,9,0,-200.0,-200.0,157199
788,9,3,-200.0,-200.0,157399
789,9,3,-200.0,-200.0,157599
790,9,5,-200.0,-200.0,157799
791,9,1,-200.0,-200.0,157999
792,9,8,-200.0,-200.0,158199
793,9,4,-200.0,-200.0,158399
794,9,9,-200.0,-200.0,158599
795,9,9,-200.0,-200.0,158799
796,9,5,-200.0,-200.0,158999
797,9,4,-200.0,-200.0,159199
798,9,3,-200.0,-200.0,159399
799,9,2,-200.0,-200.0,159599
800,9,5,-200.0,-200.0,159799
801,9,1,-200.0,-200.0,159999
802,9,8,-200.0,-200.0,160199
803,9,7,-200.0,-200.0,160399
804,9,6,-200.0,-200.0,160599
805,9,7,-200.0,-200.0,160799
806,9,9,-200.0,-200.0,160999
807,9,3,-200.0,-200.0,161199
808,9,8,-200.0,-200.0,161399
809,9,7,-200.0,-200.0,161599
810,9,9,-200.0,-200.0,161799
811,9,4,-200.0,-200.0,161999
812,9,4,-200.0,-200.0,162199
813,9,8,-200.0,-200.0,162399
814,9,1,-200.0,-200.0,162599
815,9,7,-200.0,-200.0,162799
816,9,9,-200.0,-200.0,162999
817,9,5,-200.0,-200.0,163199
818,9,4,-200.0,-200.0,163399
819,9,7,-200.0,-200.0,163599
820,9,3,-200.0,-200.0,163799
821,9,9,-200.0,-200.0,163999
822,9,7,-200.0,-200.0,164199
823,9,4,-200.0,-200.0,164399
824,9,2,-200.0,-200.0,164599
825,9,2,-200.0,-200.0,164799
826,9,5,-200.0,-200.0,164999
827,9,9,-200.0,-200.0,165199
828,9,6,-200.0,-200.0,165399
829,9,0,-200.0,-200.0,165599
830,9,3,-200.0,-200.0,165799
831,9,4,-200.0,-200.0,165999
832,9,1,-200.0,-200.0,166199
833,9,8,-200.0,-200.0,166399
834,9,9,-200.0,-200.0,166599
835,9,7,-200.0,-200.0,166799
836,9,2,-200.0,-200.0,166999
837,9,8,-200.0,-200.0,167199
838,9,6,-200.0,-200.0,167399
839,9,8,-200.0,-200.0,167599
840,9,3,-200.0,-200.0,167799
841,9,1,-200.0,-200.0,167999
842,9,6,-200.0,-200.0,168199
843,9,3,-200.0,-200.0,168399
844,9,0,-200.0,-200.0,168599
845,9,0,-200.0,-200.0,168799
846,9,6,-200.0,-200.0,168999
847,9,8,-200.0,-200.0,169199
848,9,4,-200.0,-200.0,169399
849,9,9,-200.0,-200.0,169599
850,9,5,-200.0,-200.0,169799
851,9,9,-200.0,-200.0,169999
852,9,4,-200.0,-200.0,170199
853,9,1,-200.0,-200.0,170399
854,9,2,-200.0,-200.0,170599
855,9,2,-200.0,-200.0,170799
856,9,2,-200.0,-200.0,170999
857,9,0,-200.0,-200.0,171199
858,9,8,-200.0,-200.0,171399
859,9,3,-200.0,-200.0,171599
860,9,8,-200.0,-200.0,171799
861,9,8,-200.0,-200.0,171999
862,9,1,-200.0,-200.0,172199
863,9,1,-200.0,-200.0,172399
864,9,0,-200.0,-200.0,172599
865,9,2,-200.0,-200.0,172799
866,9,4,-200.0,-200.0,172999
867,9,8,-200.0,-200.0,173199
868,9,6,-200.0,-200.0,173399
869,9,6,-200.0,-200.0,173599
870,9,6,-200.0,-200.0,173799
871,9,4,-200.0,-200.0,173999
872,9,7,-200.0,-200.0,174199
873,9,0,-200.0,-200.0,174399
874,9,0,-200.0,-200.0,174599
875,9,2,-200.0,-200.0,174799
876,9,6,-200.0,-200.0,174999
877,9,6,-200.0,-200.0,175199
878,9,8,-200.0,-200.0,175399
879,9,5,-200.0,-200.0,175599
