reward,% time spent exploring,mean 100 episode reward,episodes,head,steps
-200.0,9,-200.0,169,8,33599
-200.0,9,-200.0,170,9,33799
-200.0,9,-200.0,171,3,33999
-200.0,9,-200.0,172,5,34199
-200.0,9,-200.0,173,9,34399
-200.0,9,-200.0,174,1,34599
-200.0,9,-200.0,175,7,34799
-200.0,9,-200.0,176,4,34999
-200.0,9,-200.0,177,0,35199
-200.0,9,-200.0,178,8,35399
-200.0,9,-200.0,179,3,35599
-200.0,9,-200.0,180,1,35799
-200.0,9,-200.0,181,4,35999
-200.0,9,-200.0,182,7,36199
-200.0,9,-200.0,183,2,36399
-200.0,9,-200.0,184,2,36599
-200.0,9,-200.0,185,4,36799
-200.0,9,-200.0,186,0,36999
-200.0,9,-200.0,187,8,37199
-200.0,9,-200.0,188,3,37399
-200.0,9,-200.0,189,5,37599
-200.0,9,-200.0,190,2,37799
-200.0,9,-200.0,191,4,37999
-200.0,9,-200.0,192,7,38199
-200.0,9,-200.0,193,5,38399
-200.0,9,-200.0,194,0,38599
-200.0,9,-200.0,195,2,38799
-200.0,9,-200.0,196,4,38999
-200.0,9,-200.0,197,6,39199
-200.0,9,-200.0,198,6,39399
-200.0,9,-200.0,199,2,39599
-200.0,9,-200.0,200,7,39799
-200.0,9,-200.0,201,2,39999
-200.0,9,-200.0,202,5,40199
-200.0,9,-200.0,203,1,40399
-200.0,9,-200.0,204,5,40599
-200.0,9,-200.0,205,3,40799
-200.0,9,-200.0,206,7,40999
-200.0,9,-200.0,207,7,41199
-200.0,9,-200.0,208,1,41399
-200.0,9,-200.0,209,2,41599
-200.0,9,-200.0,210,1,41799
-200.0,9,-200.0,211,5,41999
-200.0,9,-200.0,212,8,42199
-200.0,9,-200.0,213,0,42399
-200.0,9,-200.0,214,8,42599
-200.0,9,-200.0,215,6,42799
-200.0,9,-200.0,216,5,42999
-200.0,9,-200.0,217,6,43199
-200.0,9,-200.0,218,4,43399
-200.0,9,-200.0,219,7,43599
-200.0,9,-200.0,220,8,43799
-200.0,9,-200.0,221,7,43999
-200.0,9,-200.0,222,1,44199
-200.0,9,-200.0,223,8,44399
-200.0,9,-200.0,224,2,44599
-200.0,9,-200.0,225,2,44799
-200.0,9,-200.0,226,7,44999
-200.0,9,-200.0,227,0,45199
-200.0,9,-200.0,228,1,45399
-200.0,9,-200.0,229,0,45599
-200.0,9,-200.0,230,5,45799
-200.0,9,-200.0,231,9,45999
-200.0,9,-200.0,232,0,46199
-200.0,9,-200.0,233,0,46399
-200.0,9,-200.0,234,7,46599
-200.0,9,-200.0,235,4,46799
-200.0,9,-200.0,236,3,46999
-200.0,9,-200.0,237,2,47199
-200.0,9,-200.0,238,6,47399
-200.0,9,-200.0,239,3,47599
-200.0,9,-200.0,240,4,47799
-200.0,9,-200.0,241,4,47999
-200.0,9,-200.0,242,9,48199
-200.0,9,-200.0,243,7,48399
-200.0,9,-200.0,244,2,48599
-200.0,9,-200.0,245,2,48799
-200.0,9,-200.0,246,3,48999
-200.0,9,-200.0,247,0,49199
-200.0,9,-200.0,248,3,49399
-200.0,9,-200.0,249,7,49599
-200.0,9,-200.0,250,8,49799
-200.0,9,-200.0,251,1,49999
-200.0,9,-200.0,252,6,50199
-200.0,9,-200.0,253,1,50399
-200.0,9,-200.0,254,8,50599
-200.0,9,-200.0,255,6,50799
-200.0,9,-200.0,256,6,50999
-200.0,9,-200.0,257,1,51199
-200.0,9,-200.0,258,3,51399
-200.0,9,-200.0,259,0,51599
-200.0,9,-200.0,260,5,51799
-200.0,9,-200.0,261,5,51999
-200.0,9,-200.0,262,3,52199
-200.0,9,-200.0,263,3,52399
-200.0,9,-200.0,264,7,52599
-200.0,9,-200.0,265,5,52799
-200.0,9,-200.0,266,1,52999
-200.0,9,-200.0,267,7,53199
-200.0,9,-200.0,268,7,53399
-200.0,9,-200.0,269,2,53599
-200.0,9,-200.0,270,3,53799
-200.0,9,-200.0,271,0,53999
-200.0,9,-200.0,272,2,54199
-200.0,9,-200.0,273,5,54399
-200.0,9,-200.0,274,8,54599
-200.0,9,-200.0,275,9,54799
-200.0,9,-200.0,276,4,54999
-200.0,9,-200.0,277,3,55199
-200.0,9,-200.0,278,0,55399
-200.0,9,-200.0,279,9,55599
-200.0,9,-200.0,280,1,55799
-200.0,9,-200.0,281,8,55999
-200.0,9,-200.0,282,4,56199
-200.0,9,-200.0,283,8,56399
-200.0,9,-200.0,284,0,56599
-200.0,9,-200.0,285,1,56799
-200.0,9,-200.0,286,5,56999
-200.0,9,-200.0,287,1,57199
-200.0,9,-200.0,288,2,57399
-200.0,9,-200.0,289,9,57599
-200.0,9,-200.0,290,3,57799
-200.0,9,-200.0,291,5,57999
-200.0,9,-200.0,292,6,58199
-200.0,9,-200.0,293,0,58399
-200.0,9,-200.0,294,8,58599
-200.0,9,-200.0,295,3,58799
-200.0,9,-200.0,296,4,58999
-200.0,9,-200.0,297,4,59199
-200.0,9,-200.0,298,2,59399
-200.0,9,-200.0,299,7,59599
-200.0,9,-200.0,300,7,59799
-200.0,9,-200.0,301,9,59999
-200.0,9,-200.0,302,0,60199
-200.0,9,-200.0,303,3,60399
-200.0,9,-200.0,304,4,60599
-200.0,9,-200.0,305,0,60799
-200.0,9,-200.0,306,2,60999
-200.0,9,-200.0,307,4,61199
-200.0,9,-200.0,308,2,61399
-200.0,9,-200.0,309,2,61599
-200.0,9,-200.0,310,5,61799
-200.0,9,-200.0,311,1,61999
-200.0,9,-200.0,312,9,62199
-200.0,9,-200.0,313,2,62399
-200.0,9,-200.0,314,2,62599
-200.0,9,-200.0,315,2,62799
-200.0,9,-200.0,316,6,62999
-200.0,9,-200.0,317,0,63199
-200.0,9,-200.0,318,7,63399
-200.0,9,-200.0,319,4,63599
-200.0,9,-200.0,320,8,63799
-200.0,9,-200.0,321,9,63999
-200.0,9,-200.0,322,3,64199
-200.0,9,-200.0,323,9,64399
-200.0,9,-200.0,324,9,64599
-200.0,9,-200.0,325,8,64799
-200.0,9,-200.0,326,8,64999
-200.0,9,-200.0,327,7,65199
-200.0,9,-200.0,328,4,65399
-200.0,9,-200.0,329,2,65599
-200.0,9,-200.0,330,2,65799
-200.0,9,-200.0,331,3,65999
-200.0,9,-200.0,332,3,66199
-200.0,9,-200.0,333,7,66399
-200.0,9,-200.0,334,4,66599
-200.0,9,-200.0,335,8,66799
-200.0,9,-200.0,336,7,66999
-200.0,9,-200.0,337,6,67199
-200.0,9,-200.0,338,0,67399
-200.0,9,-200.0,339,9,67599
-200.0,9,-200.0,340,9,67799
-200.0,9,-200.0,341,8,67999
-200.0,9,-200.0,342,9,68199
-200.0,9,-200.0,343,0,68399
-200.0,9,-200.0,344,6,68599
-200.0,9,-200.0,345,7,68799
-200.0,9,-200.0,346,4,68999
-200.0,9,-200.0,347,0,69199
-200.0,9,-200.0,348,9,69399
-200.0,9,-200.0,349,1,69599
-200.0,9,-200.0,350,9,69799
-200.0,9,-200.0,351,6,69999
-200.0,9,-200.0,352,4,70199
-200.0,9,-200.0,353,9,70399
-200.0,9,-200.0,354,2,70599
-200.0,9,-200.0,355,9,70799
-200.0,9,-200.0,356,0,70999
-200.0,9,-200.0,357,2,71199
-200.0,9,-200.0,358,8,71399
-200.0,9,-200.0,359,2,71599
-200.0,9,-200.0,360,0,71799
-200.0,9,-200.0,361,5,71999
-200.0,9,-200.0,362,9,72199
-200.0,9,-200.0,363,9,72399
-200.0,9,-200.0,364,0,72599
-200.0,9,-200.0,365,3,72799
-200.0,9,-200.0,366,0,72999
-200.0,9,-200.0,367,8,73199
-200.0,9,-200.0,368,1,73399
-200.0,9,-200.0,369,0,73599
-200.0,9,-200.0,370,6,73799
-200.0,9,-200.0,371,0,73999
-200.0,9,-200.0,372,0,74199
-200.0,9,-200.0,373,2,74399
-200.0,9,-200.0,374,4,74599
-200.0,9,-200.0,375,3,74799
-200.0,9,-200.0,376,9,74999
-200.0,9,-200.0,377,9,75199
-200.0,9,-200.0,378,1,75399
-200.0,9,-200.0,379,5,75599
-200.0,9,-200.0,380,0,75799
-200.0,9,-200.0,381,2,75999
-200.0,9,-200.0,382,2,76199
-200.0,9,-200.0,383,8,76399
-200.0,9,-200.0,384,5,76599
-200.0,9,-200.0,385,0,76799
-200.0,9,-200.0,386,7,76999
-200.0,9,-200.0,387,9,77199
-200.0,9,-200.0,388,0,77399
-200.0,9,-200.0,389,2,77599
-200.0,9,-200.0,390,8,77799
-200.0,9,-200.0,391,0,77999
-200.0,9,-200.0,392,5,78199
-200.0,9,-200.0,393,3,78399
-200.0,9,-200.0,394,5,78599
-200.0,9,-200.0,395,7,78799
-200.0,9,-200.0,396,9,78999
-200.0,9,-200.0,397,6,79199
-200.0,9,-200.0,398,6,79399
-200.0,9,-200.0,399,4,79599
-200.0,9,-200.0,400,6,79799
-200.0,9,-200.0,401,1,79999
-200.0,9,-200.0,402,9,80199
-200.0,9,-200.0,403,1,80399
-200.0,9,-200.0,404,2,80599
-200.0,9,-200.0,405,4,80799
-200.0,9,-200.0,406,4,80999
-200.0,9,-200.0,407,6,81199
-200.0,9,-200.0,408,2,81399
-200.0,9,-200.0,409,3,81599
-200.0,9,-200.0,410,4,81799
-200.0,9,-200.0,411,4,81999
-200.0,9,-200.0,412,3,82199
-200.0,9,-200.0,413,0,82399
-200.0,9,-200.0,414,8,82599
-200.0,9,-200.0,415,7,82799
-200.0,9,-200.0,416,5,82999
-200.0,9,-200.0,417,1,83199
-200.0,9,-200.0,418,1,83399
-200.0,9,-200.0,419,3,83599
