mean 100 episode reward,reward,% time spent exploring,steps,episodes
0.0,0.025000000000000015,99,108,2
0.0,0.002,98,217,3
0.0,0.03900000000000003,97,326,4
0.0,0.002,96,435,5
0.0,0.011000000000000003,95,544,6
0.0,0.01800000000000001,94,653,7
0.0,0.016000000000000007,93,762,8
0.0,0.003,92,871,9
0.0,0.025000000000000015,91,980,10
0.0,0.0,90,1089,11
0.0,0.002,89,1198,12
0.0,0.009000000000000001,88,1307,13
0.0,0.012000000000000004,87,1416,14
0.0,0.027000000000000017,86,1525,15
0.0,0.012000000000000004,85,1634,16
0.0,0.016000000000000007,84,1743,17
0.0,0.012000000000000004,83,1852,18
0.0,0.003,82,1961,19
0.0,0.007,81,2070,20
0.0,0.006,80,2179,21
0.0,0.015000000000000006,79,2288,22
0.0,0.015000000000000006,78,2397,23
0.0,0.012000000000000004,77,2506,24
0.0,0.007,76,2615,25
0.0,0.0,75,2724,26
0.0,0.007,74,2833,27
0.0,0.026000000000000016,73,2942,28
0.0,0.01900000000000001,72,3051,29
0.0,0.011000000000000003,71,3160,30
0.0,0.01900000000000001,70,3269,31
0.0,0.02000000000000001,69,3378,32
0.0,0.022000000000000013,68,3487,33
0.0,0.014000000000000005,67,3596,34
0.0,0.001,66,3705,35
0.0,0.005,65,3814,36
0.0,0.014000000000000005,64,3923,37
0.0,0.046000000000000034,63,4032,38
0.0,0.002,62,4141,39
0.0,0.005,61,4250,40
0.0,0.012000000000000004,60,4359,41
0.0,0.016000000000000007,59,4468,42
0.0,0.009000000000000001,58,4577,43
0.0,0.013000000000000005,57,4686,44
0.0,0.04000000000000003,56,4795,45
0.0,0.009000000000000001,55,4904,46
0.0,0.023000000000000013,54,5013,47
0.0,0.006,53,5122,48
0.0,0.001,52,5231,49
0.0,0.0,51,5340,50
0.0,0.06700000000000005,50,5449,51
0.0,0.036000000000000025,49,5558,52
0.0,0.01900000000000001,48,5667,53
0.0,0.014000000000000005,48,5776,54
0.0,0.004,47,5885,55
0.0,0.0,46,5994,56
0.0,0.011000000000000003,45,6103,57
0.0,0.001,44,6212,58
0.0,0.0,43,6321,59
0.0,0.025000000000000015,42,6430,60
0.0,0.02900000000000002,41,6539,61
0.0,0.02000000000000001,40,6648,62
0.0,0.05500000000000004,39,6757,63
0.0,0.01800000000000001,38,6866,64
0.0,0.05300000000000004,37,6975,65
0.0,0.01900000000000001,36,7084,66
0.0,0.003,35,7193,67
0.0,0.0,34,7302,68
0.0,0.03800000000000003,33,7411,69
0.0,0.03800000000000003,32,7520,70
0.0,0.023000000000000013,31,7629,71
0.0,0.07300000000000005,30,7738,72
0.0,0.06700000000000005,29,7847,73
0.0,0.06500000000000004,28,7956,74
0.0,0.04200000000000003,27,8065,75
0.0,0.009000000000000001,26,8174,76
0.0,0.007,25,8283,77
0.0,0.027000000000000017,24,8392,78
0.0,0.03300000000000002,23,8501,79
0.0,0.001,22,8610,80
0.0,0.001,21,8719,81
0.0,0.08000000000000006,20,8828,82
0.0,0.09500000000000007,19,8937,83
0.0,0.07200000000000005,18,9046,84
0.0,0.04300000000000003,17,9155,85
0.0,0.09300000000000007,16,9264,86
0.0,0.08300000000000006,15,9373,87
0.0,0.09700000000000007,14,9482,88
0.0,0.028000000000000018,13,9591,89
0.0,0.04300000000000003,12,9700,90
0.0,0.005,11,9809,91
0.0,0.024000000000000014,10,9918,92
0.0,0.01900000000000001,9,10027,93
0.0,0.023000000000000013,9,10136,94
0.0,0.08300000000000006,9,10245,95
0.0,0.012000000000000004,9,10354,96
0.0,0.09500000000000007,9,10463,97
0.0,0.08600000000000006,9,10572,98
0.0,0.0,9,10681,99
0.0,0.001,9,10790,100
0.0,0.0,9,10899,101
0.0,0.004,9,11008,102
0.0,0.017000000000000008,9,11117,103
0.0,0.004,9,11226,104
0.0,0.0,9,11335,105
0.0,0.001,9,11444,106
0.0,0.0,9,11553,107
0.0,0.004,9,11662,108
0.0,0.01800000000000001,9,11771,109
0.0,0.026000000000000016,9,11880,110
0.0,0.007,9,11989,111
0.0,0.005,9,12098,112
0.0,0.02100000000000001,9,12207,113
0.0,0.02000000000000001,9,12316,114
0.0,0.0,9,12425,115
0.0,0.002,9,12534,116
0.0,0.008,9,12643,117
0.0,0.03400000000000002,9,12752,118
0.0,0.037000000000000026,9,12861,119
0.0,0.0,9,12970,120
0.0,0.05000000000000004,9,13079,121
0.0,0.024000000000000014,9,13188,122
0.0,0.007,9,13297,123
0.0,0.014000000000000005,9,13406,124
0.0,0.0,9,13515,125
0.0,0.0,9,13624,126
0.0,0.03100000000000002,9,13733,127
0.0,0.028000000000000018,9,13842,128
0.0,0.03300000000000002,9,13951,129
0.0,0.037000000000000026,9,14060,130
0.0,0.09000000000000007,9,14169,131
0.0,0.010000000000000002,9,14278,132
0.0,0.001,9,14387,133
0.0,0.08400000000000006,9,14496,134
0.0,0.004,9,14605,135
0.0,0.04000000000000003,9,14714,136
0.0,0.08200000000000006,9,14823,137
0.0,0.04900000000000004,9,14932,138
0.0,0.06900000000000005,9,15041,139
0.0,0.058000000000000045,9,15150,140
0.0,0.05500000000000004,9,15259,141
0.0,0.047000000000000035,9,15368,142
0.0,0.03400000000000002,9,15477,143
0.0,0.046000000000000034,9,15586,144
0.0,0.06800000000000005,9,15695,145
0.0,0.09700000000000007,9,15804,146
0.0,0.08600000000000006,9,15913,147
0.0,0.08200000000000006,9,16022,148
0.0,0.001,9,16131,149
0.0,0.001,9,16240,150
0.0,0.0,9,16349,151
0.0,0.001,9,16458,152
0.0,0.003,9,16567,153
0.0,0.0,9,16676,154
0.0,0.006,9,16785,155
0.0,0.026000000000000016,9,16894,156
0.0,0.016000000000000007,9,17003,157
0.0,0.022000000000000013,9,17112,158
0.0,0.014000000000000005,9,17221,159
0.0,0.011000000000000003,9,17330,160
0.0,0.027000000000000017,9,17439,161
0.0,0.047000000000000035,9,17548,162
0.0,0.04500000000000003,9,17657,163
0.0,0.036000000000000025,9,17766,164
0.0,0.025000000000000015,9,17875,165
0.0,0.026000000000000016,9,17984,166
0.0,0.08600000000000006,9,18093,167
0.0,0.07600000000000005,9,18202,168
0.0,0.07900000000000006,9,18311,169
0.0,0.09800000000000007,9,18420,170
0.0,0.003,9,18529,171
0.0,0.03400000000000002,9,18638,172
0.0,0.006,9,18747,173
0.0,0.03800000000000003,9,18856,174
0.0,0.026000000000000016,9,18965,175
0.0,0.05600000000000004,9,19074,176
0.0,0.0,9,19183,177
0.0,0.001,9,19292,178
0.0,0.01800000000000001,9,19401,179
0.0,0.03800000000000003,9,19510,180
0.0,0.009000000000000001,9,19619,181
0.0,0.013000000000000005,9,19728,182
0.0,0.011000000000000003,9,19837,183
0.0,0.001,9,19946,184
0.0,0.007,9,20055,185
0.0,0.04900000000000004,9,20164,186
0.0,0.060000000000000046,9,20273,187
0.0,0.03400000000000002,9,20382,188
0.0,0.022000000000000013,9,20491,189
0.0,0.07900000000000006,9,20600,190
0.0,0.07400000000000005,9,20709,191
0.0,0.10300000000000008,9,20818,192
0.0,0.10300000000000008,9,20927,193
0.0,0.05000000000000004,9,21036,194
0.0,0.04900000000000004,9,21145,195
0.0,0.03800000000000003,9,21254,196
0.0,0.047000000000000035,9,21363,197
0.0,0.03100000000000002,9,21472,198
0.0,0.08600000000000006,9,21581,199
0.0,0.07100000000000005,9,21690,200
0.0,0.012000000000000004,9,21799,201
0.0,0.003,9,21908,202
0.0,0.001,9,22017,203
0.0,0.037000000000000026,9,22126,204
0.0,0.008,9,22235,205
0.0,0.02100000000000001,9,22344,206
0.0,0.0,9,22453,207
0.0,0.06600000000000004,9,22562,208
0.0,0.06100000000000005,9,22671,209
0.0,0.02900000000000002,9,22780,210
0.0,0.03100000000000002,9,22889,211
0.0,0.08100000000000006,9,22998,212
0.0,0.014000000000000005,9,23107,213
0.0,0.0,9,23216,214
0.0,0.015000000000000006,9,23325,215
0.0,0.08700000000000006,9,23434,216
0.0,0.025000000000000015,9,23543,217
0.0,0.0,9,23652,218
0.0,0.08700000000000006,9,23761,219
0.0,0.07100000000000005,9,23870,220
0.0,0.02100000000000001,9,23979,221
