reward,episodes,mean 100 episode reward,steps,% time spent exploring,head
0.028000000000000018,2,0.0,108,99,2
0.026000000000000016,3,0.0,217,99,0
0.017000000000000008,4,0.0,326,98,0
0.023000000000000013,5,0.0,435,98,6
0.02000000000000001,6,0.0,544,97,2
0.02100000000000001,7,0.0,653,97,4
0.016000000000000007,8,0.0,762,96,9
0.04100000000000003,9,0.0,871,96,3
0.02100000000000001,10,0.0,980,95,4
0.006,11,0.0,1089,95,2
0.037000000000000026,12,0.0,1198,95,6
0.017000000000000008,13,0.0,1307,94,5
0.004,14,0.0,1416,94,9
0.017000000000000008,15,0.0,1525,93,4
0.014000000000000005,16,0.0,1634,93,2
0.025000000000000015,17,0.0,1743,92,0
0.007,18,0.0,1852,92,3
0.006,19,0.0,1961,91,5
0.012000000000000004,20,0.0,2070,91,3
0.009000000000000001,21,0.0,2179,90,6
0.01800000000000001,22,0.0,2288,90,5
0.007,23,0.0,2397,90,1
0.009000000000000001,24,0.0,2506,89,2
0.011000000000000003,25,0.0,2615,89,8
0.03300000000000002,26,0.0,2724,88,8
0.03000000000000002,27,0.0,2833,88,6
0.011000000000000003,28,0.0,2942,87,2
0.0,29,0.0,3051,87,4
0.046000000000000034,30,0.0,3160,86,5
0.013000000000000005,31,0.0,3269,86,7
0.008,32,0.0,3378,86,3
0.005,33,0.0,3487,85,5
0.012000000000000004,34,0.0,3596,85,8
0.003,35,0.0,3705,84,3
0.007,36,0.0,3814,84,8
0.01900000000000001,37,0.0,3923,83,5
0.024000000000000014,38,0.0,4032,83,1
0.0,39,0.0,4141,82,8
0.009000000000000001,40,0.0,4250,82,1
0.009000000000000001,41,0.0,4359,81,7
0.004,42,0.0,4468,81,7
0.028000000000000018,43,0.0,4577,81,5
0.05600000000000004,44,0.0,4686,80,6
0.04300000000000003,45,0.0,4795,80,3
0.009000000000000001,46,0.0,4904,79,3
0.03300000000000002,47,0.0,5013,79,6
0.059000000000000045,48,0.0,5122,78,6
0.048000000000000036,49,0.0,5231,78,3
0.0,50,0.0,5340,77,0
0.005,51,0.0,5449,77,7
0.01900000000000001,52,0.0,5558,77,8
0.036000000000000025,53,0.0,5667,76,6
0.0,54,0.0,5776,76,4
0.001,55,0.0,5885,75,3
0.011000000000000003,56,0.0,5994,75,5
0.002,57,0.0,6103,74,0
0.001,58,0.0,6212,74,5
0.005,59,0.0,6321,73,9
0.02000000000000001,60,0.0,6430,73,9
0.001,61,0.0,6539,72,4
0.06200000000000005,62,0.0,6648,72,3
0.010000000000000002,63,0.0,6757,72,2
0.006,64,0.0,6866,71,1
0.008,65,0.0,6975,71,8
0.023000000000000013,66,0.0,7084,70,5
0.03400000000000002,67,0.0,7193,70,5
0.0,68,0.0,7302,69,9
0.027000000000000017,69,0.0,7411,69,1
0.014000000000000005,70,0.0,7520,68,1
0.01800000000000001,71,0.0,7629,68,0
0.04000000000000003,72,0.0,7738,68,7
0.022000000000000013,73,0.0,7847,67,4
0.04500000000000003,74,0.0,7956,67,5
0.012000000000000004,75,0.0,8065,66,9
0.010000000000000002,76,0.0,8174,66,4
0.010000000000000002,77,0.0,8283,65,3
0.006,78,0.0,8392,65,6
0.023000000000000013,79,0.0,8501,64,1
0.010000000000000002,80,0.0,8610,64,3
0.03300000000000002,81,0.0,8719,63,9
0.005,82,0.0,8828,63,2
0.04000000000000003,83,0.0,8937,63,1
0.01800000000000001,84,0.0,9046,62,7
0.0,85,0.0,9155,62,3
0.023000000000000013,86,0.0,9264,61,4
0.024000000000000014,87,0.0,9373,61,0
0.022000000000000013,88,0.0,9482,60,4
