reward,% time spent exploring,mean 100 episode reward,steps,episodes
-200.0,98,-200.0,199,2
-200.0,96,-200.0,399,3
-200.0,94,-200.0,599,4
-200.0,92,-200.0,799,5
-200.0,91,-200.0,999,6
-200.0,89,-200.0,1199,7
-200.0,87,-200.0,1399,8
-200.0,85,-200.0,1599,9
-200.0,83,-200.0,1799,10
-200.0,82,-200.0,1999,11
-200.0,80,-200.0,2199,12
-200.0,78,-200.0,2399,13
