steps,episodes,reward,% time spent exploring,mean 100 episode reward
37399,188,-200.0,15,-200.0
37599,189,-200.0,15,-200.0
37799,190,-200.0,14,-200.0
37999,191,-200.0,14,-200.0
38199,192,-200.0,14,-200.0
38399,193,-200.0,13,-200.0
38599,194,-200.0,13,-200.0
38799,195,-200.0,12,-200.0
38999,196,-200.0,12,-200.0
39199,197,-200.0,11,-200.0
39399,198,-200.0,11,-200.0
39599,199,-200.0,10,-200.0
39799,200,-200.0,10,-200.0
39999,201,-200.0,10,-200.0
40199,202,-200.0,9,-200.0
40399,203,-200.0,9,-200.0
40599,204,-200.0,9,-200.0
40799,205,-200.0,9,-200.0
40999,206,-200.0,9,-200.0
41199,207,-200.0,9,-200.0
41399,208,-200.0,9,-200.0
41599,209,-200.0,9,-200.0
41799,210,-200.0,9,-200.0
41999,211,-200.0,9,-200.0
42199,212,-200.0,9,-200.0
42399,213,-200.0,9,-200.0
42599,214,-200.0,9,-200.0
42799,215,-200.0,9,-200.0
42999,216,-200.0,9,-200.0
43199,217,-200.0,9,-200.0
43399,218,-200.0,9,-200.0
43599,219,-200.0,9,-200.0
43799,220,-200.0,9,-200.0
43999,221,-200.0,9,-200.0
44199,222,-200.0,9,-200.0
44399,223,-200.0,9,-200.0
44599,224,-200.0,9,-200.0
44799,225,-200.0,9,-200.0
44999,226,-200.0,9,-200.0
45199,227,-200.0,9,-200.0
45399,228,-200.0,9,-200.0
45599,229,-200.0,9,-200.0
45799,230,-200.0,9,-200.0
45999,231,-200.0,9,-200.0
46199,232,-200.0,9,-200.0
46399,233,-200.0,9,-200.0
46599,234,-200.0,9,-200.0
46799,235,-200.0,9,-200.0
46999,236,-200.0,9,-200.0
47199,237,-200.0,9,-200.0
47399,238,-200.0,9,-200.0
47599,239,-200.0,9,-200.0
47799,240,-200.0,9,-200.0
47999,241,-200.0,9,-200.0
48199,242,-200.0,9,-200.0
48399,243,-200.0,9,-200.0
48599,244,-200.0,9,-200.0
48799,245,-200.0,9,-200.0
48999,246,-200.0,9,-200.0
49199,247,-200.0,9,-200.0
49399,248,-200.0,9,-200.0
49599,249,-200.0,9,-200.0
49799,250,-200.0,9,-200.0
49999,251,-200.0,9,-200.0
50199,252,-200.0,9,-200.0
50399,253,-200.0,9,-200.0
50599,254,-200.0,9,-200.0
50799,255,-200.0,9,-200.0
50999,256,-200.0,9,-200.0
51199,257,-200.0,9,-200.0
51399,258,-200.0,9,-200.0
51599,259,-200.0,9,-200.0
51799,260,-200.0,9,-200.0
51999,261,-200.0,9,-200.0
52199,262,-200.0,9,-200.0
52399,263,-200.0,9,-200.0
52599,264,-200.0,9,-200.0
52799,265,-200.0,9,-200.0
52999,266,-200.0,9,-200.0
53199,267,-200.0,9,-200.0
53399,268,-200.0,9,-200.0
53599,269,-200.0,9,-200.0
53799,270,-200.0,9,-200.0
53999,271,-200.0,9,-200.0
54199,272,-200.0,9,-200.0
54399,273,-200.0,9,-200.0
54599,274,-200.0,9,-200.0
54799,275,-200.0,9,-200.0
54999,276,-200.0,9,-200.0
55199,277,-200.0,9,-200.0
55399,278,-200.0,9,-200.0
55599,279,-200.0,9,-200.0
55799,280,-200.0,9,-200.0
55999,281,-200.0,9,-200.0
56199,282,-200.0,9,-200.0
56399,283,-200.0,9,-200.0
56599,284,-200.0,9,-200.0
56799,285,-200.0,9,-200.0
56999,286,-200.0,9,-200.0
57199,287,-200.0,9,-200.0
57399,288,-200.0,9,-200.0
57599,289,-200.0,9,-200.0
57799,290,-200.0,9,-200.0
57999,291,-200.0,9,-200.0
58199,292,-200.0,9,-200.0
58399,293,-200.0,9,-200.0
58599,294,-200.0,9,-200.0
58799,295,-200.0,9,-200.0
58999,296,-200.0,9,-200.0
59199,297,-200.0,9,-200.0
59399,298,-200.0,9,-200.0
59599,299,-200.0,9,-200.0
59799,300,-200.0,9,-200.0
59999,301,-200.0,9,-200.0
60199,302,-200.0,9,-200.0
60399,303,-200.0,9,-200.0
60599,304,-200.0,9,-200.0
60799,305,-200.0,9,-200.0
60999,306,-200.0,9,-200.0
61199,307,-200.0,9,-200.0
61399,308,-200.0,9,-200.0
61599,309,-200.0,9,-200.0
61799,310,-200.0,9,-200.0
61999,311,-200.0,9,-200.0
62199,312,-200.0,9,-200.0
62399,313,-200.0,9,-200.0
62599,314,-200.0,9,-200.0
62799,315,-200.0,9,-200.0
62999,316,-200.0,9,-200.0
63199,317,-200.0,9,-200.0
63399,318,-200.0,9,-200.0
63599,319,-200.0,9,-200.0
63799,320,-200.0,9,-200.0
63999,321,-200.0,9,-200.0
64199,322,-200.0,9,-200.0
64399,323,-200.0,9,-200.0
64599,324,-200.0,9,-200.0
64799,325,-200.0,9,-200.0
64999,326,-200.0,9,-200.0
65199,327,-200.0,9,-200.0
65399,328,-200.0,9,-200.0
65599,329,-200.0,9,-200.0
65799,330,-200.0,9,-200.0
65999,331,-200.0,9,-200.0
66199,332,-200.0,9,-200.0
66399,333,-200.0,9,-200.0
66599,334,-200.0,9,-200.0
66799,335,-200.0,9,-200.0
66999,336,-200.0,9,-200.0
67199,337,-200.0,9,-200.0
67399,338,-200.0,9,-200.0
67599,339,-200.0,9,-200.0
67799,340,-200.0,9,-200.0
67999,341,-200.0,9,-200.0
68199,342,-200.0,9,-200.0
68399,343,-200.0,9,-200.0
68599,344,-200.0,9,-200.0
68799,345,-200.0,9,-200.0
68999,346,-200.0,9,-200.0
69199,347,-200.0,9,-200.0
69399,348,-200.0,9,-200.0
69599,349,-200.0,9,-200.0
69799,350,-200.0,9,-200.0
69999,351,-200.0,9,-200.0
70199,352,-200.0,9,-200.0
70399,353,-200.0,9,-200.0
70599,354,-200.0,9,-200.0
70799,355,-200.0,9,-200.0
70999,356,-200.0,9,-200.0
71199,357,-200.0,9,-200.0
71399,358,-200.0,9,-200.0
71599,359,-200.0,9,-200.0
71799,360,-200.0,9,-200.0
71999,361,-200.0,9,-200.0
72199,362,-200.0,9,-200.0
72399,363,-200.0,9,-200.0
72599,364,-200.0,9,-200.0
72799,365,-200.0,9,-200.0
72999,366,-200.0,9,-200.0
73199,367,-200.0,9,-200.0
73399,368,-200.0,9,-200.0
73599,369,-200.0,9,-200.0
73799,370,-200.0,9,-200.0
73999,371,-200.0,9,-200.0
74199,372,-200.0,9,-200.0
74399,373,-200.0,9,-200.0
74599,374,-200.0,9,-200.0
74799,375,-200.0,9,-200.0
74999,376,-200.0,9,-200.0
75199,377,-200.0,9,-200.0
75399,378,-200.0,9,-200.0
75599,379,-200.0,9,-200.0
75799,380,-200.0,9,-200.0
75999,381,-200.0,9,-200.0
76199,382,-200.0,9,-200.0
76399,383,-200.0,9,-200.0
76599,384,-200.0,9,-200.0
76799,385,-200.0,9,-200.0
76999,386,-200.0,9,-200.0
77199,387,-200.0,9,-200.0
77399,388,-200.0,9,-200.0
77599,389,-200.0,9,-200.0
77799,390,-200.0,9,-200.0
77999,391,-200.0,9,-200.0
78199,392,-200.0,9,-200.0
78399,393,-200.0,9,-200.0
78599,394,-200.0,9,-200.0
78799,395,-200.0,9,-200.0
78999,396,-200.0,9,-200.0
79199,397,-200.0,9,-200.0
79399,398,-200.0,9,-200.0
79599,399,-200.0,9,-200.0
79799,400,-200.0,9,-200.0
79999,401,-200.0,9,-200.0
80199,402,-200.0,9,-200.0
80399,403,-200.0,9,-200.0
80599,404,-200.0,9,-200.0
80799,405,-200.0,9,-200.0
80999,406,-200.0,9,-200.0
81199,407,-200.0,9,-200.0
