episodes,mean 100 episode reward,% time spent exploring,steps,reward
109,-200.0,61,21599,-200.0
110,-200.0,60,21799,-200.0
111,-200.0,60,21999,-200.0
112,-200.0,60,22199,-200.0
113,-200.0,59,22399,-200.0
114,-200.0,59,22599,-200.0
115,-200.0,58,22799,-200.0
116,-200.0,58,22999,-200.0
117,-200.0,58,23199,-200.0
118,-200.0,57,23399,-200.0
119,-200.0,57,23599,-200.0
120,-200.0,57,23799,-200.0
121,-200.0,56,23999,-200.0
122,-200.0,56,24199,-200.0
123,-200.0,56,24399,-200.0
124,-200.0,55,24599,-200.0
125,-200.0,55,24799,-200.0
126,-200.0,55,24999,-200.0
127,-200.0,54,25199,-200.0
128,-200.0,54,25399,-200.0
129,-200.0,53,25599,-200.0
130,-200.0,53,25799,-200.0
131,-200.0,53,25999,-200.0
132,-200.0,52,26199,-200.0
133,-200.0,52,26399,-200.0
134,-200.0,52,26599,-200.0
135,-200.0,51,26799,-200.0
136,-200.0,51,26999,-200.0
137,-200.0,51,27199,-200.0
138,-200.0,50,27399,-200.0
139,-200.0,50,27599,-200.0
140,-200.0,49,27799,-200.0
141,-200.0,49,27999,-200.0
142,-200.0,49,28199,-200.0
143,-200.0,48,28399,-200.0
144,-200.0,48,28599,-200.0
145,-200.0,48,28799,-200.0
146,-200.0,47,28999,-200.0
147,-200.0,47,29199,-200.0
148,-200.0,47,29399,-200.0
149,-200.0,46,29599,-200.0
150,-200.0,46,29799,-200.0
151,-200.0,46,29999,-200.0
152,-200.0,45,30199,-200.0
153,-200.0,45,30399,-200.0
154,-200.0,44,30599,-200.0
155,-200.0,44,30799,-200.0
156,-200.0,44,30999,-200.0
157,-200.0,43,31199,-200.0
158,-200.0,43,31399,-200.0
159,-200.0,43,31599,-200.0
160,-200.0,42,31799,-200.0
161,-200.0,42,31999,-200.0
162,-200.0,42,32199,-200.0
163,-200.0,41,32399,-200.0
164,-200.0,41,32599,-200.0
165,-200.0,40,32799,-200.0
166,-200.0,40,32999,-200.0
167,-200.0,40,33199,-200.0
168,-200.0,39,33399,-200.0
169,-200.0,39,33599,-200.0
170,-200.0,39,33799,-200.0
171,-200.0,38,33999,-200.0
172,-200.0,38,34199,-200.0
173,-200.0,38,34399,-200.0
174,-200.0,37,34599,-200.0
175,-200.0,37,34799,-200.0
176,-200.0,37,34999,-200.0
177,-200.0,36,35199,-200.0
178,-200.0,36,35399,-200.0
179,-200.0,35,35599,-200.0
180,-200.0,35,35799,-200.0
181,-200.0,35,35999,-200.0
182,-200.0,34,36199,-200.0
183,-200.0,34,36399,-200.0
184,-200.0,34,36599,-200.0
185,-200.0,33,36799,-200.0
186,-200.0,33,36999,-200.0
187,-200.0,33,37199,-200.0
188,-200.0,32,37399,-200.0
189,-200.0,32,37599,-200.0
190,-200.0,31,37799,-200.0
191,-200.0,31,37999,-200.0
192,-200.0,31,38199,-200.0
193,-200.0,30,38399,-200.0
194,-200.0,30,38599,-200.0
195,-200.0,30,38799,-200.0
196,-200.0,29,38999,-200.0
197,-200.0,29,39199,-200.0
198,-200.0,29,39399,-200.0
199,-200.0,28,39599,-200.0
200,-200.0,28,39799,-200.0
201,-200.0,28,39999,-200.0
202,-200.0,27,40199,-200.0
203,-200.0,27,40399,-200.0
204,-200.0,26,40599,-200.0
205,-200.0,26,40799,-200.0
206,-200.0,26,40999,-200.0
207,-200.0,25,41199,-200.0
208,-200.0,25,41399,-200.0
209,-200.0,25,41599,-200.0
210,-200.0,24,41799,-200.0
211,-200.0,24,41999,-200.0
212,-200.0,24,42199,-200.0
213,-200.0,23,42399,-200.0
214,-200.0,23,42599,-200.0
215,-200.0,22,42799,-200.0
216,-200.0,22,42999,-200.0
217,-200.0,22,43199,-200.0
218,-200.0,21,43399,-200.0
219,-200.0,21,43599,-200.0
220,-200.0,21,43799,-200.0
221,-200.0,20,43999,-200.0
222,-200.0,20,44199,-200.0
223,-200.0,20,44399,-200.0
224,-200.0,19,44599,-200.0
225,-200.0,19,44799,-200.0
226,-200.0,19,44999,-200.0
227,-200.0,18,45199,-200.0
228,-200.0,18,45399,-200.0
229,-200.0,17,45599,-200.0
230,-200.0,17,45799,-200.0
231,-200.0,17,45999,-200.0
232,-200.0,16,46199,-200.0
233,-200.0,16,46399,-200.0
234,-200.0,16,46599,-200.0
235,-200.0,15,46799,-200.0
236,-200.0,15,46999,-200.0
237,-200.0,15,47199,-200.0
238,-200.0,14,47399,-200.0
239,-200.0,14,47599,-200.0
240,-200.0,13,47799,-200.0
241,-200.0,13,47999,-200.0
242,-200.0,13,48199,-200.0
243,-200.0,12,48399,-200.0
244,-200.0,12,48599,-200.0
245,-200.0,12,48799,-200.0
246,-200.0,11,48999,-200.0
247,-200.0,11,49199,-200.0
248,-200.0,11,49399,-200.0
249,-200.0,10,49599,-200.0
250,-200.0,10,49799,-200.0
251,-200.0,10,49999,-200.0
252,-200.0,9,50199,-200.0
253,-200.0,9,50399,-200.0
254,-200.0,9,50599,-200.0
255,-200.0,9,50799,-200.0
256,-200.0,9,50999,-200.0
257,-200.0,9,51199,-200.0
258,-200.0,9,51399,-200.0
259,-200.0,9,51599,-200.0
260,-200.0,9,51799,-200.0
261,-200.0,9,51999,-200.0
262,-200.0,9,52199,-200.0
263,-200.0,9,52399,-200.0
264,-200.0,9,52599,-200.0
265,-200.0,9,52799,-200.0
266,-200.0,9,52999,-200.0
267,-200.0,9,53199,-200.0
268,-200.0,9,53399,-200.0
269,-200.0,9,53599,-200.0
270,-200.0,9,53799,-200.0
271,-200.0,9,53999,-200.0
272,-200.0,9,54199,-200.0
273,-200.0,9,54399,-200.0
274,-200.0,9,54599,-200.0
275,-200.0,9,54799,-200.0
276,-200.0,9,54999,-200.0
277,-200.0,9,55199,-200.0
278,-200.0,9,55399,-200.0
279,-200.0,9,55599,-200.0
280,-200.0,9,55799,-200.0
281,-200.0,9,55999,-200.0
282,-200.0,9,56199,-200.0
283,-200.0,9,56399,-200.0
284,-200.0,9,56599,-200.0
285,-200.0,9,56799,-200.0
286,-200.0,9,56999,-200.0
287,-200.0,9,57199,-200.0
288,-200.0,9,57399,-200.0
289,-200.0,9,57599,-200.0
290,-200.0,9,57799,-200.0
291,-200.0,9,57999,-200.0
292,-200.0,9,58199,-200.0
293,-200.0,9,58399,-200.0
294,-200.0,9,58599,-200.0
295,-200.0,9,58799,-200.0
296,-200.0,9,58999,-200.0
297,-200.0,9,59199,-200.0
298,-200.0,9,59399,-200.0
299,-200.0,9,59599,-200.0
300,-200.0,9,59799,-200.0
301,-200.0,9,59999,-200.0
302,-200.0,9,60199,-200.0
303,-200.0,9,60399,-200.0
304,-200.0,9,60599,-200.0
305,-200.0,9,60799,-200.0
306,-200.0,9,60999,-200.0
307,-200.0,9,61199,-200.0
308,-200.0,9,61399,-200.0
309,-200.0,9,61599,-200.0
310,-200.0,9,61799,-200.0
311,-200.0,9,61999,-200.0
312,-200.0,9,62199,-200.0
313,-200.0,9,62399,-200.0
314,-200.0,9,62599,-200.0
315,-200.0,9,62799,-200.0
316,-200.0,9,62999,-200.0
317,-200.0,9,63199,-200.0
318,-200.0,9,63399,-200.0
319,-200.0,9,63599,-200.0
320,-200.0,9,63799,-200.0
321,-200.0,9,63999,-200.0
322,-200.0,9,64199,-200.0
323,-200.0,9,64399,-200.0
324,-200.0,9,64599,-200.0
325,-200.0,9,64799,-200.0
326,-200.0,9,64999,-200.0
327,-200.0,9,65199,-200.0
328,-200.0,9,65399,-200.0
329,-200.0,9,65599,-200.0
330,-200.0,9,65799,-200.0
331,-200.0,9,65999,-200.0
332,-200.0,9,66199,-200.0
333,-200.0,9,66399,-200.0
334,-200.0,9,66599,-200.0
335,-200.0,9,66799,-200.0
336,-200.0,9,66999,-200.0
337,-200.0,9,67199,-200.0
338,-200.0,9,67399,-200.0
339,-200.0,9,67599,-200.0
340,-200.0,9,67799,-200.0
341,-200.0,9,67999,-200.0
342,-200.0,9,68199,-200.0
343,-200.0,9,68399,-200.0
344,-200.0,9,68599,-200.0
345,-200.0,9,68799,-200.0
346,-200.0,9,68999,-200.0
347,-200.0,9,69199,-200.0
348,-200.0,9,69399,-200.0
349,-200.0,9,69599,-200.0
350,-200.0,9,69799,-200.0
351,-200.0,9,69999,-200.0
352,-200.0,9,70199,-200.0
353,-200.0,9,70399,-200.0
354,-200.0,9,70599,-200.0
355,-200.0,9,70799,-200.0
356,-200.0,9,70999,-200.0
357,-200.0,9,71199,-200.0
358,-200.0,9,71399,-200.0
359,-200.0,9,71599,-200.0
360,-200.0,9,71799,-200.0
361,-200.0,9,71999,-200.0
362,-200.0,9,72199,-200.0
363,-200.0,9,72399,-200.0
364,-200.0,9,72599,-200.0
365,-200.0,9,72799,-200.0
366,-200.0,9,72999,-200.0
367,-200.0,9,73199,-200.0
368,-200.0,9,73399,-200.0
369,-200.0,9,73599,-200.0
370,-200.0,9,73799,-200.0
371,-200.0,9,73999,-200.0
372,-200.0,9,74199,-200.0
373,-200.0,9,74399,-200.0
374,-200.0,9,74599,-200.0
375,-200.0,9,74799,-200.0
376,-200.0,9,74999,-200.0
377,-200.0,9,75199,-200.0
378,-200.0,9,75399,-200.0
379,-200.0,9,75599,-200.0
380,-200.0,9,75799,-200.0
381,-200.0,9,75999,-200.0
382,-200.0,9,76199,-200.0
383,-200.0,9,76399,-200.0
384,-200.0,9,76599,-200.0
385,-200.0,9,76799,-200.0
386,-200.0,9,76999,-200.0
387,-200.0,9,77199,-200.0
388,-200.0,9,77399,-200.0
389,-200.0,9,77599,-200.0
390,-200.0,9,77799,-200.0
391,-200.0,9,77999,-200.0
392,-200.0,9,78199,-200.0
393,-200.0,9,78399,-200.0
394,-200.0,9,78599,-200.0
395,-200.0,9,78799,-200.0
396,-200.0,9,78999,-200.0
397,-200.0,9,79199,-200.0
398,-200.0,9,79399,-200.0
399,-200.0,9,79599,-200.0
400,-200.0,9,79799,-200.0
401,-200.0,9,79999,-200.0
402,-200.0,9,80199,-200.0
403,-200.0,9,80399,-200.0
404,-200.0,9,80599,-200.0
405,-200.0,9,80799,-200.0
406,-200.0,9,80999,-200.0
407,-200.0,9,81199,-200.0
408,-200.0,9,81399,-200.0
409,-200.0,9,81599,-200.0
410,-200.0,9,81799,-200.0
411,-200.0,9,81999,-200.0
412,-200.0,9,82199,-200.0
413,-200.0,9,82399,-200.0
414,-200.0,9,82599,-200.0
415,-200.0,9,82799,-200.0
416,-200.0,9,82999,-200.0
417,-200.0,9,83199,-200.0
418,-200.0,9,83399,-200.0
419,-200.0,9,83599,-200.0
420,-200.0,9,83799,-200.0
421,-200.0,9,83999,-200.0
422,-200.0,9,84199,-200.0
423,-200.0,9,84399,-200.0
424,-200.0,9,84599,-200.0
425,-200.0,9,84799,-200.0
426,-200.0,9,84999,-200.0
427,-200.0,9,85199,-200.0
428,-200.0,9,85399,-200.0
429,-200.0,9,85599,-200.0
430,-200.0,9,85799,-200.0
431,-200.0,9,85999,-200.0
432,-200.0,9,86199,-200.0
433,-200.0,9,86399,-200.0
434,-200.0,9,86599,-200.0
435,-200.0,9,86799,-200.0
436,-200.0,9,86999,-200.0
437,-200.0,9,87199,-200.0
438,-200.0,9,87399,-200.0
439,-200.0,9,87599,-200.0
440,-200.0,9,87799,-200.0
441,-200.0,9,87999,-200.0
442,-200.0,9,88199,-200.0
443,-200.0,9,88399,-200.0
444,-200.0,9,88599,-200.0
445,-200.0,9,88799,-200.0
446,-200.0,9,88999,-200.0
447,-200.0,9,89199,-200.0
448,-200.0,9,89399,-200.0
449,-200.0,9,89599,-200.0
450,-200.0,9,89799,-200.0
451,-200.0,9,89999,-200.0
452,-200.0,9,90199,-200.0
453,-200.0,9,90399,-200.0
454,-200.0,9,90599,-200.0
455,-200.0,9,90799,-200.0
456,-200.0,9,90999,-200.0
457,-200.0,9,91199,-200.0
458,-200.0,9,91399,-200.0
459,-200.0,9,91599,-200.0
460,-200.0,9,91799,-200.0
461,-200.0,9,91999,-200.0
462,-200.0,9,92199,-200.0
463,-200.0,9,92399,-200.0
464,-200.0,9,92599,-200.0
465,-200.0,9,92799,-200.0
466,-200.0,9,92999,-200.0
467,-200.0,9,93199,-200.0
468,-200.0,9,93399,-200.0
469,-200.0,9,93599,-200.0
470,-200.0,9,93799,-200.0
471,-200.0,9,93999,-200.0
472,-200.0,9,94199,-200.0
473,-200.0,9,94399,-200.0
474,-200.0,9,94599,-200.0
475,-200.0,9,94799,-200.0
476,-200.0,9,94999,-200.0
477,-200.0,9,95199,-200.0
478,-200.0,9,95399,-200.0
479,-200.0,9,95599,-200.0
480,-200.0,9,95799,-200.0
481,-200.0,9,95999,-200.0
482,-200.0,9,96199,-200.0
483,-200.0,9,96399,-200.0
484,-200.0,9,96599,-200.0
485,-200.0,9,96799,-200.0
486,-200.0,9,96999,-200.0
487,-200.0,9,97199,-200.0
488,-200.0,9,97399,-200.0
489,-200.0,9,97599,-200.0
490,-200.0,9,97799,-200.0
491,-200.0,9,97999,-200.0
492,-200.0,9,98199,-200.0
493,-200.0,9,98399,-200.0
494,-200.0,9,98599,-200.0
495,-200.0,9,98799,-200.0
496,-200.0,9,98999,-200.0
497,-200.0,9,99199,-200.0
498,-200.0,9,99399,-200.0
499,-200.0,9,99599,-200.0
500,-200.0,9,99799,-200.0
501,-200.0,9,99999,-200.0
502,-200.0,9,100199,-200.0
503,-200.0,9,100399,-200.0
504,-200.0,9,100599,-200.0
505,-200.0,9,100799,-200.0
506,-200.0,9,100999,-200.0
507,-200.0,9,101199,-200.0
508,-200.0,9,101399,-200.0
509,-200.0,9,101599,-200.0
510,-200.0,9,101799,-200.0
511,-200.0,9,101999,-200.0
512,-200.0,9,102199,-200.0
513,-200.0,9,102399,-200.0
514,-200.0,9,102599,-200.0
515,-200.0,9,102799,-200.0
516,-200.0,9,102999,-200.0
517,-200.0,9,103199,-200.0
518,-200.0,9,103399,-200.0
519,-200.0,9,103599,-200.0
520,-200.0,9,103799,-200.0
521,-200.0,9,103999,-200.0
522,-200.0,9,104199,-200.0
523,-200.0,9,104399,-200.0
524,-200.0,9,104599,-200.0
525,-200.0,9,104799,-200.0
526,-200.0,9,104999,-200.0
527,-200.0,9,105199,-200.0
528,-200.0,9,105399,-200.0
529,-200.0,9,105599,-200.0
530,-200.0,9,105799,-200.0
531,-200.0,9,105999,-200.0
532,-200.0,9,106199,-200.0
533,-200.0,9,106399,-200.0
534,-200.0,9,106599,-200.0
535,-200.0,9,106799,-200.0
536,-200.0,9,106999,-200.0
537,-200.0,9,107199,-200.0
538,-200.0,9,107399,-200.0
539,-200.0,9,107599,-200.0
540,-200.0,9,107799,-200.0
541,-200.0,9,107999,-200.0
542,-200.0,9,108199,-200.0
543,-200.0,9,108399,-200.0
544,-200.0,9,108599,-200.0
545,-200.0,9,108799,-200.0
546,-200.0,9,108999,-200.0
547,-200.0,9,109199,-200.0
548,-200.0,9,109399,-200.0
549,-200.0,9,109599,-200.0
550,-200.0,9,109799,-200.0
551,-200.0,9,109999,-200.0
552,-200.0,9,110199,-200.0
553,-200.0,9,110399,-200.0
554,-200.0,9,110599,-200.0
555,-200.0,9,110799,-200.0
556,-200.0,9,110999,-200.0
557,-200.0,9,111199,-200.0
558,-200.0,9,111399,-200.0
559,-200.0,9,111599,-200.0
560,-200.0,9,111799,-200.0
561,-200.0,9,111999,-200.0
562,-200.0,9,112199,-200.0
563,-200.0,9,112399,-200.0
564,-200.0,9,112599,-200.0
565,-200.0,9,112799,-200.0
566,-200.0,9,112999,-200.0
567,-200.0,9,113199,-200.0
568,-200.0,9,113399,-200.0
569,-200.0,9,113599,-200.0
570,-200.0,9,113799,-200.0
571,-200.0,9,113999,-200.0
572,-200.0,9,114199,-200.0
573,-200.0,9,114399,-200.0
574,-200.0,9,114599,-200.0
575,-200.0,9,114799,-200.0
576,-200.0,9,114999,-200.0
577,-200.0,9,115199,-200.0
578,-200.0,9,115399,-200.0
579,-200.0,9,115599,-200.0
580,-200.0,9,115799,-200.0
581,-200.0,9,115999,-200.0
582,-200.0,9,116199,-200.0
583,-200.0,9,116399,-200.0
584,-200.0,9,116599,-200.0
585,-200.0,9,116799,-200.0
586,-200.0,9,116999,-200.0
587,-200.0,9,117199,-200.0
588,-200.0,9,117399,-200.0
589,-200.0,9,117599,-200.0
590,-200.0,9,117799,-200.0
591,-200.0,9,117999,-200.0
592,-200.0,9,118199,-200.0
593,-200.0,9,118399,-200.0
594,-200.0,9,118599,-200.0
595,-200.0,9,118799,-200.0
596,-200.0,9,118999,-200.0
597,-200.0,9,119199,-200.0
598,-200.0,9,119399,-200.0
599,-200.0,9,119599,-200.0
600,-200.0,9,119799,-200.0
601,-200.0,9,119999,-200.0
602,-200.0,9,120199,-200.0
603,-200.0,9,120399,-200.0
604,-200.0,9,120599,-200.0
605,-200.0,9,120799,-200.0
606,-200.0,9,120999,-200.0
607,-200.0,9,121199,-200.0
608,-200.0,9,121399,-200.0
609,-200.0,9,121599,-200.0
610,-200.0,9,121799,-200.0
611,-200.0,9,121999,-200.0
612,-200.0,9,122199,-200.0
613,-200.0,9,122399,-200.0
614,-200.0,9,122599,-200.0
615,-200.0,9,122799,-200.0
616,-200.0,9,122999,-200.0
617,-200.0,9,123199,-200.0
618,-200.0,9,123399,-200.0
619,-200.0,9,123599,-200.0
620,-200.0,9,123799,-200.0
621,-200.0,9,123999,-200.0
622,-200.0,9,124199,-200.0
623,-200.0,9,124399,-200.0
624,-200.0,9,124599,-200.0
625,-200.0,9,124799,-200.0
626,-200.0,9,124999,-200.0
627,-200.0,9,125199,-200.0
628,-200.0,9,125399,-200.0
629,-200.0,9,125599,-200.0
630,-200.0,9,125799,-200.0
631,-200.0,9,125999,-200.0
632,-200.0,9,126199,-200.0
633,-200.0,9,126399,-200.0
634,-200.0,9,126599,-200.0
635,-200.0,9,126799,-200.0
636,-200.0,9,126999,-200.0
637,-200.0,9,127199,-200.0
638,-200.0,9,127399,-200.0
639,-200.0,9,127599,-200.0
640,-200.0,9,127799,-200.0
641,-200.0,9,127999,-200.0
642,-200.0,9,128199,-200.0
643,-200.0,9,128399,-200.0
644,-200.0,9,128599,-200.0
645,-200.0,9,128799,-200.0
646,-200.0,9,128999,-200.0
647,-200.0,9,129199,-200.0
648,-200.0,9,129399,-200.0
649,-200.0,9,129599,-200.0
650,-200.0,9,129799,-200.0
651,-200.0,9,129999,-200.0
652,-200.0,9,130199,-200.0
653,-200.0,9,130399,-200.0
654,-200.0,9,130599,-200.0
655,-200.0,9,130799,-200.0
656,-200.0,9,130999,-200.0
657,-200.0,9,131199,-200.0
658,-200.0,9,131399,-200.0
659,-200.0,9,131599,-200.0
660,-200.0,9,131799,-200.0
661,-200.0,9,131999,-200.0
662,-200.0,9,132199,-200.0
663,-200.0,9,132399,-200.0
664,-200.0,9,132599,-200.0
665,-200.0,9,132799,-200.0
666,-200.0,9,132999,-200.0
667,-200.0,9,133199,-200.0
668,-200.0,9,133399,-200.0
669,-200.0,9,133599,-200.0
670,-200.0,9,133799,-200.0
671,-200.0,9,133999,-200.0
672,-200.0,9,134199,-200.0
673,-200.0,9,134399,-200.0
674,-200.0,9,134599,-200.0
675,-200.0,9,134799,-200.0
676,-200.0,9,134999,-200.0
677,-200.0,9,135199,-200.0
678,-200.0,9,135399,-200.0
679,-200.0,9,135599,-200.0
680,-200.0,9,135799,-200.0
681,-200.0,9,135999,-200.0
682,-200.0,9,136199,-200.0
683,-200.0,9,136399,-200.0
684,-200.0,9,136599,-200.0
685,-200.0,9,136799,-200.0
686,-200.0,9,136999,-200.0
687,-200.0,9,137199,-200.0
688,-200.0,9,137399,-200.0
689,-200.0,9,137599,-200.0
690,-200.0,9,137799,-200.0
691,-200.0,9,137999,-200.0
692,-200.0,9,138199,-200.0
693,-200.0,9,138399,-200.0
694,-200.0,9,138599,-200.0
695,-200.0,9,138799,-200.0
696,-200.0,9,138999,-200.0
697,-200.0,9,139199,-200.0
698,-200.0,9,139399,-200.0
699,-200.0,9,139599,-200.0
700,-200.0,9,139799,-200.0
701,-200.0,9,139999,-200.0
702,-200.0,9,140199,-200.0
703,-200.0,9,140399,-200.0
704,-200.0,9,140599,-200.0
705,-200.0,9,140799,-200.0
706,-200.0,9,140999,-200.0
707,-200.0,9,141199,-200.0
708,-200.0,9,141399,-200.0
709,-200.0,9,141599,-200.0
710,-200.0,9,141799,-200.0
711,-200.0,9,141999,-200.0
712,-200.0,9,142199,-200.0
713,-200.0,9,142399,-200.0
714,-200.0,9,142599,-200.0
715,-200.0,9,142799,-200.0
716,-200.0,9,142999,-200.0
717,-200.0,9,143199,-200.0
718,-200.0,9,143399,-200.0
719,-200.0,9,143599,-200.0
720,-200.0,9,143799,-200.0
721,-200.0,9,143999,-200.0
722,-200.0,9,144199,-200.0
723,-200.0,9,144399,-200.0
724,-200.0,9,144599,-200.0
725,-200.0,9,144799,-200.0
726,-200.0,9,144999,-200.0
727,-200.0,9,145199,-200.0
728,-200.0,9,145399,-200.0
729,-200.0,9,145597,-198.0
730,-200.0,9,145797,-200.0
731,-200.0,9,145997,-200.0
732,-200.0,9,146197,-200.0
733,-200.0,9,146397,-200.0
734,-200.0,9,146597,-200.0
735,-200.0,9,146797,-200.0
736,-200.0,9,146997,-200.0
737,-200.0,9,147197,-200.0
738,-200.0,9,147397,-200.0
739,-200.0,9,147597,-200.0
740,-200.0,9,147797,-200.0
741,-200.0,9,147997,-200.0
742,-200.0,9,148197,-200.0
743,-200.0,9,148397,-200.0
744,-200.0,9,148597,-200.0
745,-200.0,9,148797,-200.0
746,-200.0,9,148997,-200.0
747,-200.0,9,149197,-200.0
748,-200.0,9,149397,-200.0
749,-200.0,9,149597,-200.0
750,-200.0,9,149797,-200.0
751,-200.0,9,149997,-200.0
752,-200.0,9,150197,-200.0
753,-200.0,9,150397,-200.0
754,-200.0,9,150597,-200.0
755,-200.0,9,150797,-200.0
756,-200.0,9,150997,-200.0
757,-200.0,9,151197,-200.0
758,-200.0,9,151397,-200.0
759,-200.0,9,151597,-200.0
760,-200.0,9,151797,-200.0
761,-200.0,9,151997,-200.0
762,-200.0,9,152197,-200.0
763,-200.0,9,152397,-200.0
764,-200.0,9,152597,-200.0
765,-200.0,9,152797,-200.0
766,-200.0,9,152997,-200.0
767,-200.0,9,153197,-200.0
768,-200.0,9,153397,-200.0
769,-200.0,9,153597,-200.0
770,-200.0,9,153797,-200.0
771,-200.0,9,153997,-200.0
772,-200.0,9,154197,-200.0
773,-200.0,9,154397,-200.0
774,-200.0,9,154597,-200.0
775,-200.0,9,154797,-200.0
776,-200.0,9,154997,-200.0
777,-200.0,9,155197,-200.0
778,-200.0,9,155397,-200.0
779,-200.0,9,155597,-200.0
780,-200.0,9,155797,-200.0
781,-200.0,9,155997,-200.0
782,-200.0,9,156197,-200.0
783,-200.0,9,156397,-200.0
784,-200.0,9,156597,-200.0
785,-200.0,9,156797,-200.0
786,-200.0,9,156997,-200.0
787,-200.0,9,157197,-200.0
788,-200.0,9,157397,-200.0
789,-200.0,9,157597,-200.0
790,-200.0,9,157797,-200.0
791,-200.0,9,157997,-200.0
792,-200.0,9,158197,-200.0
793,-200.0,9,158397,-200.0
794,-200.0,9,158597,-200.0
795,-200.0,9,158797,-200.0
796,-200.0,9,158997,-200.0
797,-200.0,9,159197,-200.0
798,-200.0,9,159397,-200.0
799,-200.0,9,159597,-200.0
800,-200.0,9,159797,-200.0
801,-200.0,9,159997,-200.0
802,-200.0,9,160197,-200.0
803,-200.0,9,160397,-200.0
804,-200.0,9,160597,-200.0
805,-200.0,9,160797,-200.0
806,-200.0,9,160997,-200.0
807,-200.0,9,161197,-200.0
808,-200.0,9,161397,-200.0
809,-200.0,9,161597,-200.0
810,-200.0,9,161797,-200.0
811,-200.0,9,161997,-200.0
812,-200.0,9,162197,-200.0
813,-200.0,9,162397,-200.0
814,-200.0,9,162597,-200.0
815,-200.0,9,162797,-200.0
816,-200.0,9,162997,-200.0
817,-200.0,9,163197,-200.0
818,-200.0,9,163397,-200.0
819,-200.0,9,163597,-200.0
820,-200.0,9,163797,-200.0
821,-200.0,9,163997,-200.0
